scenario,method,step,phase,n,interval_average_reward_mean,interval_average_reward_ci95,rolling_average_reward_500_mean,rolling_average_reward_500_ci95,stream_average_reward_mean,stream_average_reward_ci95,exact_policy_gain_mean,exact_policy_gain_ci95,oracle_gain_mean,oracle_gain_ci95,dynamic_regret_mean,dynamic_regret_ci95,normalized_dynamic_regret_mean,normalized_dynamic_regret_ci95,model_error_mean,model_error_ci95,preferred_goal_fraction_mean,preferred_goal_fraction_ci95,true_wind_probability_mean,true_wind_probability_ci95,estimated_wind_down_mean,estimated_wind_down_ci95,surprise_mean,surprise_ci95,effective_model_rate_mean,effective_model_rate_ci95
loca_reward,q_learning,100,prechange,20,-0.041699999999999904,0.0232976321543628,nan,nan,-0.041699999999999904,0.0232976321543628,-0.11399940267302715,0.026918122648343652,0.717,4.99217154710575e-17,0.830999402673027,0.026918122648343652,1.158994982807569,0.03754270941191584,nan,nan,0.8333333333333333,0.2469367890326951,0.0,0.0,nan,nan,nan,nan,nan,nan
loca_reward,q_learning,200,prechange,20,0.06967500000000006,0.0755137460511939,nan,nan,0.013987499999999944,0.04555393386141316,-0.09568954232827323,0.035125904700597135,0.717,4.99217154710575e-17,0.8126895423282731,0.03512590470059713,1.1334582180310644,0.04899010418493325,nan,nan,0.3368055555555555,0.1930762363871487,0.0,0.0,nan,nan,nan,nan,nan,nan
loca_reward,q_learning,300,prechange,20,0.0960000000000001,0.08697651466435005,nan,nan,0.041325,0.05569007130523784,-0.036654947663548,0.06207405582309143,0.717,4.99217154710575e-17,0.7536549476635478,0.06207405582309143,1.0511226606186166,0.08657469431393508,nan,nan,0.36069132887314703,0.2072675984467387,0.0,0.0,nan,nan,nan,nan,nan,nan
loca_reward,q_learning,400,prechange,20,0.1835250000000002,0.11529888953201507,nan,nan,0.07687500000000004,0.06871376619143037,-0.037923884970841204,0.048871014754012954,0.717,4.99217154710575e-17,0.7549238849708411,0.048871014754012954,1.0528924476580772,0.06816041109346299,nan,nan,0.5293600339054885,0.20185560441113465,0.0,0.0,nan,nan,nan,nan,nan,nan
loca_reward,q_learning,500,prechange,20,0.2200250000000003,0.1245222543329421,0.10550500000000015,0.07762205439637429,0.10550499999999965,0.07762205439637425,0.008570511378077132,0.04907861182550586,0.717,4.99217154710575e-17,0.7084294886219228,0.049078611825505866,0.9880467065856665,0.06844994675802771,nan,nan,0.4066176247994429,0.18731111618649388,0.0,0.0,nan,nan,nan,nan,nan,nan
loca_reward,q_learning,600,prechange,20,0.23157500000000025,0.11991608899801132,0.1601600000000002,0.09812030976345212,0.12651666666666594,0.08349641115745869,0.11742905577731286,0.09887979401946913,0.717,4.99217154710575e-17,0.599570944222687,0.09887979401946913,0.8362216795295497,0.1379076625097199,nan,nan,0.3346121471121471,0.12536438966007846,0.0,0.0,nan,nan,nan,nan,nan,nan
loca_reward,q_learning,700,prechange,20,0.2682000000000003,0.132544685854283,0.19986500000000024,0.10939785835535797,0.14675714285714175,0.08836066442770317,0.10917323919815339,0.10442874608771643,0.717,4.99217154710575e-17,0.6078267608018465,0.10442874608771642,0.8477360680639421,0.14564678673321682,nan,nan,0.4378762263377648,0.17455089219582584,0.0,0.0,nan,nan,nan,nan,nan,nan
loca_reward,q_learning,800,prechange,20,0.29352500000000037,0.13492128282407775,0.2393700000000003,0.12106006457869548,0.16510312499999855,0.09309320553007165,0.16476740645023674,0.12051565301474336,0.717,4.99217154710575e-17,0.5522325935497631,0.12051565301474336,0.7701988752437422,0.16808319806798241,nan,nan,0.42691923461154224,0.18915778881181927,0.0,0.0,nan,nan,nan,nan,nan,nan
loca_reward,q_learning,900,prechange,20,0.30645000000000033,0.13016142420613128,0.26395500000000033,0.12415479866020412,0.18080833333333168,0.09607676796999322,0.166724045504129,0.11734803099383115,0.717,4.99217154710575e-17,0.5502759544958709,0.11734803099383115,0.7674699504823863,0.16366531519362784,nan,nan,0.44015215553677095,0.19148727857646672,0.0,0.0,nan,nan,nan,nan,nan,nan
loca_reward,q_learning,1000,prechange,20,0.32832500000000053,0.1300383460147936,0.28561500000000034,0.1252343540223353,0.19555999999999812,0.09855279251741589,0.19547983290149995,0.11435905783520595,0.717,4.99217154710575e-17,0.5215201670984999,0.11435905783520592,0.727364249788703,0.15949659391242113,nan,nan,0.5062341504649197,0.18109775948896603,0.0,0.0,nan,nan,nan,nan,nan,nan
